month,advertising_spend,website_visits,discount_percent,region,sales
1,1200,8400,5,North,18200
2,1350,9100,5,South,19500
3,1500,9800,10,East,22400
4,1680,10400,10,West,24100
5,1800,11200,15,North,26800
6,1950,11800,15,South,28100
7,2100,12600,20,East,31500
8,2250,13100,20,West,32900
9,2400,13900,15,North,34700
10,2550,14500,10,South,35800
11,2700,15200,10,East,37900
12,2900,16000,5,West,41100
13,1100,7900,5,North,17100
14,1280,8700,5,South,18800
15,1460,9500,10,East,21600
16,1620,10100,10,West,23300
17,1760,10900,15,North,25700
18,1910,11600,15,South,27600
19,2080,12300,20,East,30400
20,2210,12900,20,West,32100
21,2380,13600,15,North,33900
22,2520,14300,10,South,35300
23,2690,15000,10,East,37200
24,2870,15800,5,West,40500
